name,city,state,address,phone,website,rating,reviews_count,category,subtypes,latitude,longitude,postal_code,source,confirmed,confidence,place_id,photo,reviews_link,booking_link,maps_link,verified
DexaFit Clear Lake,Clear Lake,TX,,,https://www.clearlake.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Cleveland,Cleveland,OH,"23400 Mercantile Rd, Suite 1, 
Beachwood, OH 44122",1727610533,https://www.cleveland.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Denver,Denver,CO,"1143 Auraria Pkwy UNIT 204, Denver, CO 80204",0988017604,https://www.colorado.dexafit.com,5.0,40,Diagnostic center,Diagnostic center,39.748334899999996,-105.0047841,80204,dexafit,True,high,ChIJBZw_Af15bIcROoKZHXvbz40,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMeZ4YSuDonK1h9rIB5gf7DtT_Po1682ANBHxATGMAcQbf6KRP-4NM0CBxRNkNJa1KLFqQmt9HxFu3ptwmd3kIGbvUPImM2c8lHQJcLbV5mq42TrCUHjeJ8gm9N6awQFrZz3Xkrav5mGKm=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJBZw_Af15bIcROoKZHXvbz40&q=*&authuser=0&hl=en&gl=US,https://www.denver.dexafit.com/appointments,"https://www.google.com/maps/place/DexaFit+Denver/@39.748334899999996,-105.0047841,14z/data=!4m8!1m2!2m1!1sDexaFit+Denver!3m4!1s0x876c79fd013f9c05:0x8dcfdb7b1d99823a!8m2!3d39.748334899999996!4d-105.0047841",True
DexaFit Detroit,Detroit,MI,,1708528781,https://www.detroit.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Olathe,Olathe,KS,"14008 W. 135th Street Olathe, KS 66062",6005075222,https://www.dexafitkc.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Las Vegas,Las Vegas,NV,"6883 W. Charleston Blvd, Suite A, Las Vegas, NV 89117",3141925352,https://www.dexafitlv.com,5,168,Diagnostic center,"Diagnostic center, Medical laboratory",36.1580041,-115.2456675,89117,dexafit,True,high,ChIJg7Ia5_rAyIARkn97sRvKEFE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxDZspW-4IA4gvS1pXDx-LYI-XZC61mvTUYTi4lG0VRiIf_Bo-EUxXTfzsJKqpL4Sg9oy8ZvL-PVk4Wp1xAQMhv-AKY5pP4AzsIJLL3bnbXho_Auw74jXxIBBCw3-zUnWRnKaoCw=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJg7Ia5_rAyIARkn97sRvKEFE&q=*&authuser=0&hl=en&gl=US,https://dexafitlv.com/appointments,"https://www.google.com/maps/place/DexaFit+Las+Vegas/@36.1580041,-115.2456675,14z/data=!4m8!1m2!2m1!1sDexaFit+Las+Vegas!3m4!1s0x80c8c0fae71ab283:0x5110ca1bb17b7f92!8m2!3d36.1580041!4d-115.2456675",True
DexaFit Paramus,Paramus,NJ,,1711579261,https://www.dexafitnj.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Houston,Houston,TX,,1711655624,https://www.dexafitwesthouston.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Los Alamitos,Los Alamitos,CA,"5122 Katella Ave, Los Alamitos, CA 90720",1736786892,https://www.losalamitos.dexafit.com,5,148,Diagnostic center,"Diagnostic center, Weight loss service, Wellness center, Wellness program",33.8026008,-118.0433786,90720,dexafit,True,high,ChIJJ64_P1Uv3YARbW9v52-SemI,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_P88mDn3z7t6Lpl_ah7NM0QEK3ixejBjw9dMwd3MCrzq22Ut9JIx6eWBvoJ5POzEqFTD2WNwIZ7PZWHWoJCfVVotfLuhMnV8z_trL8OzM7hus1ySb9YNBZ_jSZlx31xUy-Ykx=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJJ64_P1Uv3YARbW9v52-SemI&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/DexaFit+Los+Alamitos/@33.8026008,-118.0433786,14z/data=!4m8!1m2!2m1!1sDexaFit+Los+Alamitos!3m4!1s0x80dd2f553f3fae27:0x627a926fe76f6f6d!8m2!3d33.8026008!4d-118.0433786",True
DexaFit Phoenix,Phoenix,AZ,"706 E Bell Rd. Suite 123, Phoenix, AZ 85022",1710417313,https://www.phoenix.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Round Rock,Round Rock,TX,,1719676558,https://www.roundrock.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Scottsdale,Scottsdale,AZ,,1732970185,https://www.scottsdale.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Seattle,Seattle,WA,"111 W John St, Seattle, WA 98119",1723976353,https://www.seattle.dexafit.com,4.9,321,Wellness center,"Wellness center, Fitness center, Health consultant, Laboratory, Personal trainer",47.6195732,-122.3584442,98119,dexafit,True,high,ChIJbYkqWXg3kFQRsQ3Jvqg0i_4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlxnKQL6gNXVaf1s_6R0lxNyexkfJg7fsiknSVARhXAvnQQMCdOfZL6pF9xRc4j8ab41PFKwW7-2j69mjqyRojqaD4CAhujIKaTyCqxkKFi5lyepZS9yA63TUJ81oH3ijVe5dC=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJbYkqWXg3kFQRsQ3Jvqg0i_4&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/DexaFit+Seattle/@47.6195732,-122.3584442,14z/data=!4m8!1m2!2m1!1sDexaFit+Seattle!3m4!1s0x54903778592a896d:0xfe8b34a8bec90db1!8m2!3d47.6195732!4d-122.3584442",True
DexaFit San Francisco,San Francisco,CA,,2503742903,https://www.sfbayarea.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Tampa,Tampa,FL,"730 S. Sterling Avenue, Suite 106, Tampa, FL 33609",1748704619,https://www.tampa.dexafit.com,5.0,193,Wellness center,Wellness center,27.9368716,-82.5034036,33609,dexafit,True,high,ChIJ6XFbYADDwogRMx9cJ1nGfhY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_xtzsptN_L-hvOu9UrKKwVgTvBvsMNvGoPNC2G7dv81qd5NBTPcHDHF6SriUp-rbABlxgfAuk73SeuM1kbfa0g6deqRWNcxJwVZNP9zJaURN_0eJp0US_krqPlu4N-anbvl7LcLTSzI30=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJ6XFbYADDwogRMx9cJ1nGfhY&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/DexaFit+Tampa/@27.9368716,-82.5034036,14z/data=!4m8!1m2!2m1!1sDexaFit+Tampa!3m4!1s0x88c2c300605b71e9:0x167ec659275c1f33!8m2!3d27.9368716!4d-82.5034036",True
DexaFit The Woodlands,The Woodlands,TX,"7630 Dowdell Rd suite 802, Spring, TX 77389",0315043591,https://www.woodlands.dexafit.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Westport,Westport,CT,,1708671633,https://www.longevitywestport.com,,,,,,,,dexafit,True,high,,,,,,
DexaFit Long Island,Long Island,NY,"2570 Merrick Road, Bellmore, NY 11710",1699986271,https://dexafit.com/locations/new-york/long-island,,,,,,,,dexafit,True,high,,,,,,
DexaBody Salt Lake City,Salt Lake City,UT,"5263 Commerce Drive, Suite 201",,https://dexabody.com/,,,,,,,,dexabody,True,high,,,,,,
DexaBody San Diego,San Diego,CA,"5465 Morehouse Drive, Suite 170",,https://dexabody.com/,,,,,,,,dexabody,True,high,,,,,,
DexaBody Scottsdale,Scottsdale,AZ,"11111 N. Scottsdale Rd, Suite 205",,https://dexabody.com/,,,,,,,,dexabody,True,high,,,,,,
DexaBody Atlanta,Atlanta,GA,"3355 Lenox Road, Suite 750",,https://dexabody.com/,,,,,,,,dexabody,True,high,,,,,,
NYC Performance Lab,New York,NY,"11 W 36th St. 3rd Floor, New York, NY 10018",6468461142,https://www.nycperformancelab.com/,5.0,239,Fitness center,"Fitness center, Physical therapy clinic",40.7502516,-73.9843846,10018,outscraper,True,high,ChIJJ2pqraRZwokRZb6YGHSgam4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBS3O-DkKNCL-0d8lpL_2fnAILqAN0OMRLQA-agfB-bzD2J0FOCrNF9fcLW4WoalP42MH5Pp9G8_2W9wbbhjtzqOJh3RZ_RH9QOu8ruJgdP0bD5f3oV5QetNWh3rAyNFZBvU4rbQ=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJJ2pqraRZwokRZb6YGHSgam4&q=*&authuser=0&hl=en&gl=US,https://www.nycperformancelab.com/make-an-appointment,"https://www.google.com/maps/place/NYC+Performance+Lab/@40.7502516,-73.9843846,14z/data=!4m8!1m2!2m1!1sNYC+Performance+Lab!3m4!1s0x89c259a4ad6a6a27:0x6e6aa0741898be65!8m2!3d40.7502516!4d-73.9843846",True
DexaFit New York City,New York,NY,"352 7th Ave #209, New York, NY 10001",5164961717,https://www.dexafit.com/locations/new-york/manhattan,4.9,50,Health consultant,Health consultant,40.7483,-73.99294809999999,10001,outscraper,True,high,ChIJBwpinlHWVQYRXyaDMHTUW68,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGiR99UhPOTL7g7_GPCF_lmLg57EKV9tYIgCxO4HAYRmjKquTsenLaLz_SF9O1XTkYMDwa4gVMguCX5iz_o5uv4yHJ2nAMuh-_nbhRbGZe2ZLy2MXffsL18yMhVICQEqD8pIJQrSEjrdPgH=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJBwpinlHWVQYRXyaDMHTUW68&q=*&authuser=0&hl=en&gl=US,https://www.mindbodyonline.com/explore/locations/dexafit-new-york-new-york-ny?rwg_token=AFd1xnH2t-zeYT0wnHzYhiTuZtZgZU5Hx7X9GG1z_waJqsWSD4IuG2gIL7nKcxMtTwnypPpKvJU6Dl6xul_JQGnHMpFFyqSPnJhenQuWl-paiQ7H2r4j85Q=,"https://www.google.com/maps/place/DexaFit+New+York+City/@40.7483,-73.99294809999999,14z/data=!4m8!1m2!2m1!1sDexaFit+New+York+City!3m4!1s0x655d6519e620a07:0xaf5bd4743083265f!8m2!3d40.7483!4d-73.99294809999999",True
Apex Human Performance,New York,NY,"226 E 54th St #600, New York, NY 10022",2122330633,https://apex-hp.com/,4.9,67,Gym,"Gym, Fitness center, Nutritionist, Personal trainer, Physical fitness program, Weight loss service, Weightlifting area, Wellness center, Wellness program, Women's personal trainer",40.757633,-73.96786,10022,outscraper,True,high,ChIJpQ3HWzRZwokRzVlZCeqCgvE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsnAJpAXmyNCSPQ-xbCMtvh2SAuGLOtWDwFq2zm9UyEa2fFBerSqM3gbsEvPzgeTNNV97I5fBDnb2EVg_I8oSi3g5FdLYgpLArxwaJrki2S7PPK7BHbmE0nEjmDEhq4SjV9tefqxFjA-HK=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJpQ3HWzRZwokRzVlZCeqCgvE&q=*&authuser=0&hl=en&gl=US,https://apex-hp.com/metabolic-testing/,"https://www.google.com/maps/place/Apex+Human+Performance/@40.757633,-73.96786,14z/data=!4m8!1m2!2m1!1sApex+Human+Performance!3m4!1s0x89c259345bc70da5:0xf18282ea095959cd!8m2!3d40.757633!4d-73.96786",True
BZ Longevity,Chicago,IL,"1747 N Elston Ave, Chicago, IL 60642",8723093102,https://www.bzlongevity.com/,4.9,31,Health consultant,Health consultant,41.914207,-87.6645814,60642,outscraper,True,high,ChIJq4j8lD_TD4gRnL5D5srPsXY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7Ntcvbt5ZkAwQhaLlQ7d5UixuUtZdiSW4BJ2ePCD-YbXhbcpPEL3vGypdJurcgPFYYKHT2uVS0dVd0G9QE_62vuwm8JNdR_hp4eanjjS9K4UsOYdcDJ0TLb_Jrm4XQkxfWdKR=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJq4j8lD_TD4gRnL5D5srPsXY&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/BZ+Longevity/@41.914207,-87.6645814,14z/data=!4m8!1m2!2m1!1sBZ+Longevity!3m4!1s0x880fd33f94fc88ab:0x76b1cfcae643be9c!8m2!3d41.914207!4d-87.6645814",True
Maximum Healthspan @ Practice Chicago,Chicago,IL,"2128 N Halsted St, Chicago, IL 60614",8477692262,https://www.maxhealthchicago.com/,5.0,2,Health consultant,Health consultant,41.9208541,-87.64890779999999,60614,outscraper,True,high,ChIJdS7q5PHTD4gRyHNJlNbCrUY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnXffKIMbZtHp2GJ9nVGXhccuMn2MQsdI4Cc79Pbyu-IZL6jmPgNwazIfqvtPXbdRKTLxswlbEGrxVHmo1jiiHzvEb-eLii5Qxur_wt-qp1Xotf74A2K7vmj6erKCgn5Auckp-d16NFKn-=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJdS7q5PHTD4gRyHNJlNbCrUY&q=*&authuser=0&hl=en&gl=US,https://calendly.com/maxhealthspancoach,"https://www.google.com/maps/place/Maximum+Healthspan+%40+Practice+Chicago/@41.9208541,-87.64890779999999,14z/data=!4m8!1m2!2m1!1sMaximum+Healthspan+%40+Practice+Chicago!3m4!1s0x880fd3f1e4ea2e75:0x46adc2d6944973c8!8m2!3d41.9208541!4d-87.64890779999999",True
FitnessWave Arizona (Office and Mobile Human Performance Lab),Phoenix,AZ,"1950 W Rose Garden Ln, Phoenix, AZ 85027",4809649283,http://www.fitnesswaveaz.com/,5,1,Wellness program,"Wellness program, Nutritionist, Personal trainer",33.6770166,-112.10175679999999,85027,outscraper,True,high,ChIJ-3-KOqZdK4cRAxmxcnJHIEE,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R-2clrnFraMwC9r-5qPVnw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=0.81958807&pitch=0&thumbfov=100,https://search.google.com/local/reviews?placeid=ChIJ-3-KOqZdK4cRAxmxcnJHIEE&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/FitnessWave+Arizona+%28Office+and+Mobile+Human+Performance+Lab%29/@33.6770166,-112.10175679999999,14z/data=!4m8!1m2!2m1!1sFitnessWave+Arizona+%28Office+and+Mobile+Human+Performance+Lab%29!3m4!1s0x872b5da63a8a7ffb:0x4120477272b11903!8m2!3d33.6770166!4d-112.10175679999999",False
Human Powered Health - Scottsdale,Scottsdale,AZ,"9376 E Bahia Dr Suite 101D, Scottsdale, AZ 85260",6028985775,https://humanpoweredhealth.com/,5,63,Physical fitness program,Physical fitness program,33.637374099999995,-111.88049489999999,85260,outscraper,True,high,ChIJU-btc8J1K4cRgrTKP78kEzQ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGR6OYh1fQbp9AwyEF7IsyzFAc1i6nsgqW3lJ1vtF03tau58rQG_0m1c-IVkjyBO__UNGxiYOsBN6FovLO4uM0AA0lnq28zYjDnjNR_qpf6GE_IrNewYMF5xYzphyklPgB7274=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJU-btc8J1K4cRgrTKP78kEzQ&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/Human+Powered+Health+-+Scottsdale/@33.637374099999995,-111.88049489999999,14z/data=!4m8!1m2!2m1!1sHuman+Powered+Health+-+Scottsdale!3m4!1s0x872b75c273ede653:0x341324bf3fcab482!8m2!3d33.637374099999995!4d-111.88049489999999",True
Army Wellness Center,Fort Sam Houston,TX,"2490 Stanley Rd, Fort Sam Houston, TX 78234",2105391254,,4.7,41.0,Wellness center,Wellness center,29.4498702,-98.45476269999999,78234,outscraper,True,high,ChIJlfMbEsD1XIYRF8KdVv7x-So,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrsyjLgDlHcm9PL6XsQMtb1ekWj5OSERY54UPQDqvWQ25o0ZpKhTuICJsyOnMEmoQ1D7oA1yERuO8zJMAjMij9c_32_1KBJ1NkmaBEhlAW6Of__Y07ahX6qxxFGEpQaNVAju_COQ=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJlfMbEsD1XIYRF8KdVv7x-So&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/Army+Wellness+Center/@29.4498702,-98.45476269999999,14z/data=!4m8!1m2!2m1!1sArmy+Wellness+Center!3m4!1s0x865cf5c0121bf395:0x2af9f1fe569dc217!8m2!3d29.4498702!4d-98.45476269999999",True
Sports Science Lab,Staten Island,NY,"1165 Forest Ave, Staten Island, NY 10310",7187277466,http://www.nysportssciencelab.com/,5.0,41.0,Physical fitness program,"Physical fitness program, Physical therapist, Sports complex, Sports massage therapist",40.6267613,-74.1289864,10310,outscraper,True,high,ChIJdek_W9dNwokR476YGE6Riag,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFr8yD1gt1qvYG4IYhHmFabrZ4Q74KW62o7Njn0qw8QEuFuGDweNwZMh3fs-Q2Ub9d6oE3iVAxnBdXM699pBTZ16-np9QDe6p1u7A_YvBpMEPbJ_zE1ZiyRjOWBl-u3ViQ9fybQ0w=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJdek_W9dNwokR476YGE6Riag&q=*&authuser=0&hl=en&gl=US,https://www.mindbodyonline.com/explore/locations/sports-science-lab?rwg_token=AFd1xnHWAEZD__O6E4aZJndaXyH6hKSbUNnWf_Wc6z476IjvsjfrCLuyU0yLCi3QeROiBRwxhOvNiA_hPA6_dvgZ2taUG5XBlXSiOwt_pjRiWX9c1inuwjo=,"https://www.google.com/maps/place/Sports+Science+Lab/@40.6267613,-74.1289864,14z/data=!4m8!1m2!2m1!1sSports+Science+Lab!3m4!1s0x89c24dd75b3fe975:0xa889914e1898bee3!8m2!3d40.6267613!4d-74.1289864",False
UT Health San Antonio | University of Texas Health Science Center at San Antonio,San Antonio,TX,"7703 Floyd Curl Dr, San Antonio, TX 78229",2105677000,https://uthscsa.edu/,3.9,171.0,Medical school,Medical school,29.508095899999997,-98.57568099999999,78229,outscraper,True,high,ChIJnS9zQ_5dXIYRAsKHir6Poi4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFWugkPJfMdM7ovMMgyGl3Bh5l1lkvGbOU501pO3wMAsC_1yzSPzQUUsBrj-ZmgLs9fuXmnNLxJVqIoTuL9wji1pX9RkC2YK_-XEXq_19rD6ydZEOjFqiJVYYVGz8kjp3bAWPU=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJnS9zQ_5dXIYRAsKHir6Poi4&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/UT+Health+San+Antonio+%7C+University+of+Texas+Health+Science+Center+at+San+Antonio/@29.508095899999997,-98.57568099999999,14z/data=!4m8!1m2!2m1!1sUT+Health+San+Antonio+%7C+University+of+Texas+Health+Science+Center+at+San+Antonio!3m4!1s0x865c5dfe43732f9d:0x2ea28fbe8a87c202!8m2!3d29.508095899999997!4d-98.57568099999999",True
Dexa Body Inc,San Diego,CA,"5465 Morehouse Dr Suite 170, San Diego, CA 92121",6197729000,https://dexabody.com/,4.9,43.0,Health consultant,"Health consultant, Kinesiologist, Medical diagnostic imaging center, Wellness center",32.8931774,-117.1997694,92121,outscraper,True,high,ChIJbzGXJllT2YAR_JaXit_a5ZE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqvXZluI7Bdo6TJXWIEOXgQXUoUYS9gLfFaYCBEpUc6hEkozmiikURgNF0xhANSS3Ya0eVd3U5Kayp_-Zwv7JbRLyKvuqL2CqT-DZFQBms4nVzZYojzluoByUN3EHLr1uCeMfp=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJbzGXJllT2YAR_JaXit_a5ZE&q=*&authuser=0&hl=en&gl=US,https://dexasandiegooffice.checkappointments.com/,"https://www.google.com/maps/place/Dexa+Body+Inc/@32.8931774,-117.1997694,14z/data=!4m8!1m2!2m1!1sDexa+Body+Inc!3m4!1s0x80d953592697316f:0x91e5dadf8a9796fc!8m2!3d32.8931774!4d-117.1997694",True
SDSM Peak Performance,San Diego,CA,"10505 Sorrento Valley Rd Suite 200, San Diego, CA 92121",8587937860,http://www.sdsm.com/services/peak-performance/,,,Health consultant,"Health consultant, Physical fitness program, Sports medicine clinic",32.895948,-117.2171894,92121,outscraper,True,high,ChIJ21YcFwIH3IARNvzP6C6sOWA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-uRY7TPVGJSTR3RpKMjIt757gsr77kw9mKY7bWBe5CI5O8ivcRtl5UcjLvr9hNtnVt5-s0RC3fwT56Eon0U4jXkvEosKgsEA4hFSjje1E1T0kEDhwulH5s2o9UKv7P6N1YuKw=w800-h500-k-no,,,"https://www.google.com/maps/place/SDSM+Peak+Performance/@32.895948,-117.2171894,14z/data=!4m8!1m2!2m1!1sSDSM+Peak+Performance!3m4!1s0x80dc0702171c56db:0x6039ac2ee8cffc36!8m2!3d32.895948!4d-117.2171894",True
DexaFit,Dallas,TX,"4222 Trinity Mills Rd Ste 285, Dallas, TX 75287",9724994783,https://www.dexafit.com/locations/texas/dallas,4,21,Diagnostic center,"Diagnostic center, Medical laboratory",32.9873621,-96.8380371,75287,outscraper,True,high,ChIJG7yhLAEkTIYRfWQI9TYLf7o,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGw5lM_kToYgyE-AeRhrc3wEkBLwGAYCqutdbGvdCNR5AbZ4VJVZWmITDrQxe7iGPpZRBq8eItbnpKOOWlO0TxntWKmmy_g01iaRpfv_-XWMHbDpoVBGVjHThuavMR87k4Bgbo=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJG7yhLAEkTIYRfWQI9TYLf7o&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/DexaFit/@32.9873621,-96.8380371,14z/data=!4m8!1m2!2m1!1sDexaFit!3m4!1s0x864c24012ca1bc1b:0xba7f0b36f508647d!8m2!3d32.9873621!4d-96.8380371",True
DEXA Austin Body Composition & VO2 Max Testing,Austin,TX,"2200 Park Bend Dr #3-300, Austin, TX 78758",5124672727,http://austinthyroid.com/dexa-body-composition/,5,3,Health consultant,"Health consultant, Physical fitness program, Weight loss service",30.410112899999998,-97.7028204,78758,outscraper,True,high,ChIJlbOrhYbKRIYROeUaKKLq-GY,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X8xcvA7oSZBSaPs6UgBHBA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=158.68275&pitch=0&thumbfov=100,https://search.google.com/local/reviews?placeid=ChIJlbOrhYbKRIYROeUaKKLq-GY&q=*&authuser=0&hl=en&gl=US,,"https://www.google.com/maps/place/DEXA+Austin+Body+Composition+%26+VO2+Max+Testing/@30.410112899999998,-97.7028204,14z/data=!4m8!1m2!2m1!1sDEXA+Austin+Body+Composition+%26+VO2+Max+Testing!3m4!1s0x8644ca8685abb395:0x66f8eaa2281ae539!8m2!3d30.410112899999998!4d-97.7028204",True
Biosum,Charlotte,NC,"10850 Providence Rd #1030, Charlotte, NC 28277",9804801502,https://biosum.com/,5,23,Health consultant,"Health consultant, Medical diagnostic imaging center, Personal trainer",35.061234299999995,-80.773084,28277,outscraper,True,high,ChIJwZ9-HiAnVIgRbauKHUuFxPU,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFZVYv9l4VCRmf-R0FEUOflcYyYrLgDlQRsPq2rikHfRBMyuVRuv3S9d9SE5CmNpDj5ypwYRyVo8fkdn14FscRRIT-iPL-sn3wgAoNsRZLlbF4GGkxAo6xbZl6VdjP04kqd3nq=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJwZ9-HiAnVIgRbauKHUuFxPU&q=*&authuser=0&hl=en&gl=US,https://my.biosum.com/schedule,"https://www.google.com/maps/place/Biosum/@35.061234299999995,-80.773084,14z/data=!4m8!1m2!2m1!1sBiosum!3m4!1s0x885427201e7e9fc1:0xf5c4854b1d8aab6d!8m2!3d35.061234299999995!4d-80.773084",True
DexaFit Lake Norman & HealthGevity Gardens,Huntersville,NC,"S Old Statesville Rd, Huntersville, NC 28078",7046668982,https://www.lakenorman.dexafit.com/,5,256,Wellness center,Wellness center,35.405432,-80.8419547,28078,outscraper,True,high,ChIJr1R-KDCpVogRcEB0xFNz_xE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJh4UcDyJCTCfXFBOtjgPecIbXjEjx7kb9Dl2anfghnwjvCo8Wfupfw-4EyqMB7MV78Kt1v4X8S5vG-KD8yJm89fy1cBQCuXbM5Cm2IT8mXGyFal10NJt38bu6lkWvsf1-Kfsn=w800-h500-k-no,https://search.google.com/local/reviews?placeid=ChIJr1R-KDCpVogRcEB0xFNz_xE&q=*&authuser=0&hl=en&gl=US,https://www.lakenorman.dexafit.com/appointments,"https://www.google.com/maps/place/DexaFit+Lake+Norman+%26+HealthGevity+Gardens/@35.405432,-80.8419547,14z/data=!4m8!1m2!2m1!1sDexaFit+Lake+Norman+%26+HealthGevity+Gardens!3m4!1s0x8856a930287e54af:0x11ff7353c4744070!8m2!3d35.405432!4d-80.8419547",True
